tmc,tstamp,speed
129P04124,2020-03-21 00:00:00,53.62,66.60
129P04124,2020-03-21 00:10:00,49.26,44.00
129P04124,2020-03-21 00:20:00,48.00,46.50
129P04124,2020-03-21 00:30:00,64.18,17.11
129P04124,2020-03-21 00:40:00,67.00,25.00
129P04124,2020-03-21 00:50:00,51.00,89.89
129P04124,2020-03-21 01:00:00,51.00,90.00
129P04124,2020-03-21 01:10:00,55.68,91.75
129P04124,2020-03-21 01:20:00,53.19,91.80
129P04124,2020-03-21 01:30:00,51.71,97.00
129P04124,2020-03-21 01:40:00,,
129P04124,2020-03-21 01:50:00,50.88,88.22
129P04124,2020-03-21 02:00:00,51.12,91.71
129P04124,2020-03-21 02:10:00,58.41,62.10
129P04124,2020-03-21 02:20:00,67.28,38.29
129P04124,2020-03-21 02:30:00,47.00,53.50
129P04124,2020-03-21 02:40:00,47.00,58.00
129P04124,2020-03-21 02:50:00,,
129P04124,2020-03-21 03:00:00,49.38,81.50
129P04124,2020-03-21 03:10:00,50.00,99.00
129P04124,2020-03-21 03:20:00,,
129P04124,2020-03-21 03:30:00,,
129P04124,2020-03-21 03:40:00,55.00,78.00
129P04124,2020-03-21 03:50:00,60.26,54.30
129P04124,2020-03-21 04:00:00,61.90,85.70
129P04124,2020-03-21 04:10:00,52.44,67.78
129P04124,2020-03-21 04:20:00,52.10,72.10
129P04124,2020-03-21 04:30:00,52.00,89.11
129P04124,2020-03-21 04:40:00,52.00,92.75
129P04124,2020-03-21 04:50:00,60.00,77.56
129P04124,2020-03-21 05:00:00,58.78,86.00
129P04124,2020-03-21 05:10:00,62.43,64.80
129P04124,2020-03-21 05:20:00,58.95,53.50
129P04124,2020-03-21 05:30:00,48.96,40.00
129P04124,2020-03-21 05:40:00,54.30,68.88
129P04124,2020-03-21 05:50:00,64.33,81.20
129P04124,2020-03-21 06:00:00,66.49,72.60
129P04124,2020-03-21 06:10:00,62.83,77.20
129P04124,2020-03-21 06:20:00,52.05,56.40
129P04124,2020-03-21 06:30:00,55.79,78.70
129P04124,2020-03-21 06:40:00,63.60,83.30
129P04124,2020-03-21 06:50:00,53.88,100.00
129P04124,2020-03-21 07:00:00,62.10,100.00
129P04124,2020-03-21 07:10:00,58.55,89.40
129P04124,2020-03-21 07:20:00,61.01,87.20
129P04124,2020-03-21 07:30:00,60.04,100.00
129P04124,2020-03-21 07:40:00,61.96,100.00
129P04124,2020-03-21 07:50:00,63.56,73.00
129P04124,2020-03-21 08:00:00,62.99,100.00
129P04124,2020-03-21 08:10:00,62.95,79.70
129P04124,2020-03-21 08:20:00,59.64,99.40
129P04124,2020-03-21 08:30:00,58.98,100.00
129P04124,2020-03-21 08:40:00,60.60,100.00
129P04124,2020-03-21 08:50:00,58.38,100.00
129P04124,2020-03-21 09:00:00,59.68,100.00
129P04124,2020-03-21 09:10:00,57.44,100.00
129P04124,2020-03-21 09:20:00,60.01,100.00
129P04124,2020-03-21 09:30:00,58.43,100.00
129P04124,2020-03-21 09:40:00,56.13,94.70
129P04124,2020-03-21 09:50:00,63.37,64.50
129P04124,2020-03-21 10:00:00,57.46,89.60
129P04124,2020-03-21 10:10:00,61.76,100.00
129P04124,2020-03-21 10:20:00,63.87,84.90
129P04124,2020-03-21 10:30:00,57.84,98.10
129P04124,2020-03-21 10:40:00,64.10,79.60
129P04124,2020-03-21 10:50:00,53.03,99.90
129P04124,2020-03-21 11:00:00,60.24,96.90
129P04124,2020-03-21 11:10:00,61.03,95.00
129P04124,2020-03-21 11:20:00,59.43,95.80
129P04124,2020-03-21 11:30:00,58.20,94.80
129P04124,2020-03-21 11:40:00,61.82,100.00
129P04124,2020-03-21 11:50:00,59.96,96.80
129P04124,2020-03-21 12:00:00,58.53,96.30
129P04124,2020-03-21 12:10:00,58.61,96.80
129P04124,2020-03-21 12:20:00,56.72,98.50
129P04124,2020-03-21 12:30:00,56.16,100.00
129P04124,2020-03-21 12:40:00,59.06,95.60
129P04124,2020-03-21 12:50:00,59.51,100.00
129P04124,2020-03-21 13:00:00,60.16,100.00
129P04124,2020-03-21 13:10:00,58.49,100.00
129P04124,2020-03-21 13:20:00,57.79,100.00
129P04124,2020-03-21 13:30:00,58.68,95.50
129P04124,2020-03-21 13:40:00,57.45,98.20
129P04124,2020-03-21 13:50:00,53.18,100.00
129P04124,2020-03-21 14:00:00,57.36,100.00
129P04124,2020-03-21 14:10:00,60.63,76.80
129P04124,2020-03-21 14:20:00,59.61,83.90
129P04124,2020-03-21 14:30:00,62.84,85.70
129P04124,2020-03-21 14:40:00,57.24,100.00
129P04124,2020-03-21 14:50:00,57.47,99.50
129P04124,2020-03-21 15:00:00,59.56,98.40
129P04124,2020-03-21 15:10:00,57.60,97.90
129P04124,2020-03-21 15:20:00,55.68,88.30
129P04124,2020-03-21 15:30:00,58.19,92.10
129P04124,2020-03-21 15:40:00,59.44,100.00
129P04124,2020-03-21 15:50:00,52.94,97.70
129P04124,2020-03-21 16:00:00,53.32,100.00
129P04124,2020-03-21 16:10:00,58.95,100.00
