tmc,tstamp,speed
129P04124,2020-03-15 00:00:00,55.43,69.90
129P04124,2020-03-15 00:10:00,60.77,40.40
129P04124,2020-03-15 00:20:00,52.49,70.80
129P04124,2020-03-15 00:30:00,50.67,77.30
129P04124,2020-03-15 00:40:00,48.98,58.80
129P04124,2020-03-15 00:50:00,45.00,37.83
129P04124,2020-03-15 01:00:00,63.98,21.25
129P04124,2020-03-15 01:10:00,59.99,50.90
129P04124,2020-03-15 01:20:00,55.86,87.60
129P04124,2020-03-15 01:30:00,60.97,74.30
129P04124,2020-03-15 01:40:00,63.56,84.30
129P04124,2020-03-15 01:50:00,64.18,93.10
129P04124,2020-03-15 02:00:00,62.16,93.20
129P04124,2020-03-15 02:10:00,59.10,88.60
129P04124,2020-03-15 02:20:00,54.20,48.90
129P04124,2020-03-15 02:30:00,55.76,84.70
129P04124,2020-03-15 02:40:00,57.32,99.00
129P04124,2020-03-15 02:50:00,55.28,93.20
129P04124,2020-03-15 03:00:00,51.79,86.60
129P04124,2020-03-15 03:10:00,53.89,97.90
129P04124,2020-03-15 03:20:00,50.39,88.50
129P04124,2020-03-15 03:30:00,54.03,92.67
129P04124,2020-03-15 03:40:00,57.00,87.38
129P04124,2020-03-15 03:50:00,58.00,87.00
129P04124,2020-03-15 04:00:00,58.00,92.60
129P04124,2020-03-15 04:10:00,53.00,95.56
129P04124,2020-03-15 04:20:00,57.00,100.00
129P04124,2020-03-15 04:30:00,57.00,100.00
129P04124,2020-03-15 04:40:00,66.00,62.00
129P04124,2020-03-15 04:50:00,55.06,93.90
129P04124,2020-03-15 05:00:00,57.46,92.40
129P04124,2020-03-15 05:10:00,,
129P04124,2020-03-15 05:20:00,53.00,90.33
129P04124,2020-03-15 05:30:00,57.73,68.20
129P04124,2020-03-15 05:40:00,58.01,46.40
129P04124,2020-03-15 05:50:00,69.79,42.40
129P04124,2020-03-15 06:00:00,67.57,74.40
129P04124,2020-03-15 06:10:00,63.00,100.00
129P04124,2020-03-15 06:20:00,63.00,100.00
129P04124,2020-03-15 06:30:00,61.14,100.00
129P04124,2020-03-15 06:40:00,61.60,100.00
129P04124,2020-03-15 06:50:00,62.00,100.00
129P04124,2020-03-15 07:00:00,48.08,78.78
129P04124,2020-03-15 07:10:00,63.24,84.10
129P04124,2020-03-15 07:20:00,68.30,39.50
129P04124,2020-03-15 07:30:00,63.93,96.50
129P04124,2020-03-15 07:40:00,63.07,100.00
129P04124,2020-03-15 07:50:00,57.80,100.00
129P04124,2020-03-15 08:00:00,66.04,86.00
129P04124,2020-03-15 08:10:00,64.25,100.00
129P04124,2020-03-15 08:20:00,63.39,100.00
129P04124,2020-03-15 08:30:00,63.00,100.00
129P04124,2020-03-15 08:40:00,59.25,100.00
129P04124,2020-03-15 08:50:00,60.81,100.00
129P04124,2020-03-15 09:00:00,63.19,97.80
129P04124,2020-03-15 09:10:00,62.49,100.00
129P04124,2020-03-15 09:20:00,60.09,100.00
129P04124,2020-03-15 09:30:00,58.30,100.00
129P04124,2020-03-15 09:40:00,59.83,100.00
129P04124,2020-03-15 09:50:00,61.09,100.00
129P04124,2020-03-15 10:00:00,61.65,100.00
129P04124,2020-03-15 10:10:00,58.68,100.00
129P04124,2020-03-15 10:20:00,58.48,100.00
129P04124,2020-03-15 10:30:00,58.56,100.00
129P04124,2020-03-15 10:40:00,57.00,100.00
129P04124,2020-03-15 10:50:00,59.06,100.00
129P04124,2020-03-15 11:00:00,60.25,100.00
129P04124,2020-03-15 11:10:00,59.07,100.00
129P04124,2020-03-15 11:20:00,57.98,99.60
129P04124,2020-03-15 11:30:00,56.64,99.60
129P04124,2020-03-15 11:40:00,56.28,100.00
129P04124,2020-03-15 11:50:00,59.84,96.00
129P04124,2020-03-15 12:00:00,59.20,100.00
129P04124,2020-03-15 12:10:00,59.65,100.00
129P04124,2020-03-15 12:20:00,60.00,100.00
129P04124,2020-03-15 12:30:00,59.27,100.00
129P04124,2020-03-15 12:40:00,59.89,100.00
129P04124,2020-03-15 12:50:00,58.77,100.00
129P04124,2020-03-15 13:00:00,58.59,100.00
129P04124,2020-03-15 13:10:00,57.19,100.00
129P04124,2020-03-15 13:20:00,55.58,100.00
129P04124,2020-03-15 13:30:00,57.55,100.00
129P04124,2020-03-15 13:40:00,56.67,100.00
129P04124,2020-03-15 13:50:00,57.27,100.00
129P04124,2020-03-15 14:00:00,55.70,100.00
129P04124,2020-03-15 14:10:00,59.46,100.00
129P04124,2020-03-15 14:20:00,55.78,100.00
129P04124,2020-03-15 14:30:00,57.48,100.00
129P04124,2020-03-15 14:40:00,57.09,100.00
129P04124,2020-03-15 14:50:00,58.49,100.00
129P04124,2020-03-15 15:00:00,62.19,100.00
129P04124,2020-03-15 15:10:00,62.17,100.00
129P04124,2020-03-15 15:20:00,60.49,100.00
129P04124,2020-03-15 15:30:00,57.60,98.60
129P04124,2020-03-15 15:40:00,60.26,100.00
129P04124,2020-03-15 15:50:00,62.37,97.30
129P04124,2020-03-15 16:00:00,57.56,89.50
129P04124,2020-03-15 16:10:00,60.16,95.60
129P04124,2020-03-15 16:20:00,58.08,100.00
129P04124,2020-03-15 16:30:00,56.66,100.00
129P04124,2020-03-15 16:40:00,58.07,96.70
129P04124,2020-03-15 16:50:00,58.11,100.00
129P04124,2020-03-15 17:00:00,55.54,94.50
129P04124,2020-03-15 17:10:00,59.88,97.80
129P04124,2020-03-15 17:20:00,57.48,89.00
129P04124,2020-03-15 17:30:00,56.74,92.80
129P04124,2020-03-15 17:40:00,61.48,78.10
129P04124,2020-03-15 17:50:00,60.19,98.40
129P04124,2020-03-15 18:00:00,60.54,100.00
129P04124,2020-03-15 18:10:00,60.44,98.50
129P04124,2020-03-15 18:20:00,57.30,98.30
129P04124,2020-03-15 18:30:00,58.57,100.00
129P04124,2020-03-15 18:40:00,58.09,99.90
129P04124,2020-03-15 18:50:00,54.96,98.30
129P04124,2020-03-15 19:00:00,57.99,100.00
129P04124,2020-03-15 19:10:00,55.86,100.00
129P04124,2020-03-15 19:20:00,56.08,99.30
129P04124,2020-03-15 19:30:00,54.85,99.70
129P04124,2020-03-15 19:40:00,54.29,100.00
129P04124,2020-03-15 19:50:00,53.30,100.00
129P04124,2020-03-15 20:00:00,53.69,98.40
129P04124,2020-03-15 20:10:00,57.13,89.30
129P04124,2020-03-15 20:20:00,61.47,96.90
129P04124,2020-03-15 20:30:00,55.64,100.00
129P04124,2020-03-15 20:40:00,56.15,98.10
129P04124,2020-03-15 20:50:00,55.39,100.00
129P04124,2020-03-15 21:00:00,48.70,48.60
129P04124,2020-03-15 21:10:00,29.29,3.33
129P04124,2020-03-15 21:20:00,7.44,100.00
129P04124,2020-03-15 21:30:00,12.23,89.90
129P04124,2020-03-15 21:40:00,43.04,82.30
129P04124,2020-03-15 21:50:00,48.24,47.20
129P04124,2020-03-15 22:00:00,48.37,76.70
129P04124,2020-03-15 22:10:00,52.98,100.00
129P04124,2020-03-15 22:20:00,52.09,99.50
129P04124,2020-03-15 22:30:00,50.27,98.50
129P04124,2020-03-15 22:40:00,50.60,96.20
129P04124,2020-03-15 22:50:00,47.18,72.40
129P04124,2020-03-15 23:00:00,49.68,96.90
129P04124,2020-03-15 23:10:00,49.87,99.60
129P04124,2020-03-15 23:20:00,55.07,71.80
129P04124,2020-03-15 23:30:00,58.78,30.30
129P04124,2020-03-15 23:40:00,51.83,89.00
129P04124,2020-03-15 23:50:00,52.91,93.20
129P04123,2020-03-15 00:00:00,52.74,93.90
129P04123,2020-03-15 00:10:00,52.27,97.10
129P04123,2020-03-15 00:20:00,43.57,63.90
129P04123,2020-03-15 00:30:00,47.73,85.50
129P04123,2020-03-15 00:40:00,50.50,94.90
129P04123,2020-03-15 00:50:00,42.00,72.80
129P04123,2020-03-15 01:00:00,51.05,59.10
129P04123,2020-03-15 01:10:00,66.80,27.30
129P04123,2020-03-15 01:20:00,54.59,95.60
129P04123,2020-03-15 01:30:00,54.96,81.30
129P04123,2020-03-15 01:40:00,63.00,69.10
129P04123,2020-03-15 01:50:00,61.88,93.80
129P04123,2020-03-15 02:00:00,61.40,99.10
129P04123,2020-03-15 02:10:00,62.00,98.60
129P04123,2020-03-15 02:20:00,53.00,81.13
129P04123,2020-03-15 02:30:00,53.00,86.50
129P04123,2020-03-15 02:40:00,65.00,73.67
129P04123,2020-03-15 02:50:00,64.38,82.30
129P04123,2020-03-15 03:00:00,60.19,87.10
129P04123,2020-03-15 03:10:00,56.93,90.20
129P04123,2020-03-15 03:20:00,50.15,74.20
129P04123,2020-03-15 03:30:00,52.76,93.00
129P04123,2020-03-15 03:40:00,55.00,99.75
129P04123,2020-03-15 03:50:00,61.00,91.90
129P04123,2020-03-15 04:00:00,60.50,94.00
129P04123,2020-03-15 04:10:00,58.87,97.89
129P04123,2020-03-15 04:20:00,58.00,98.00
129P04123,2020-03-15 04:30:00,57.00,98.50
129P04123,2020-03-15 04:40:00,53.97,91.88
129P04123,2020-03-15 04:50:00,50.57,98.70
129P04123,2020-03-15 05:00:00,48.25,96.75
129P04123,2020-03-15 05:10:00,,
129P04123,2020-03-15 05:20:00,55.24,85.88
129P04123,2020-03-15 05:30:00,56.46,59.80
129P04123,2020-03-15 05:40:00,66.35,47.90
129P04123,2020-03-15 05:50:00,71.00,27.90
129P04123,2020-03-15 06:00:00,53.48,87.70
129P04123,2020-03-15 06:10:00,55.06,100.00
129P04123,2020-03-15 06:20:00,54.98,100.00
129P04123,2020-03-15 06:30:00,54.00,100.00
129P04123,2020-03-15 06:40:00,58.90,100.00
129P04123,2020-03-15 06:50:00,57.09,100.00
129P04123,2020-03-15 07:00:00,52.79,90.40
129P04123,2020-03-15 07:10:00,65.58,72.50
129P04123,2020-03-15 07:20:00,67.00,52.00
129P04123,2020-03-15 07:30:00,67.00,93.83
129P04123,2020-03-15 07:40:00,65.75,95.20
129P04123,2020-03-15 07:50:00,58.69,100.00
129P04123,2020-03-15 08:00:00,66.19,94.00
129P04123,2020-03-15 08:10:00,70.43,81.50
129P04123,2020-03-15 08:20:00,60.65,100.00
129P04123,2020-03-15 08:30:00,58.91,100.00
129P04123,2020-03-15 08:40:00,52.55,100.00
129P04123,2020-03-15 08:50:00,50.40,100.00
129P04123,2020-03-15 09:00:00,57.39,100.00
129P04123,2020-03-15 09:10:00,56.22,100.00
129P04123,2020-03-15 09:20:00,52.60,100.00
129P04123,2020-03-15 09:30:00,56.71,100.00
129P04123,2020-03-15 09:40:00,57.71,100.00
129P04123,2020-03-15 09:50:00,52.58,100.00
129P04123,2020-03-15 10:00:00,56.86,100.00
129P04123,2020-03-15 10:10:00,53.97,100.00
129P04123,2020-03-15 10:20:00,55.77,100.00
129P04123,2020-03-15 10:30:00,56.77,100.00
129P04123,2020-03-15 10:40:00,54.89,100.00
129P04123,2020-03-15 10:50:00,56.15,100.00
129P04123,2020-03-15 11:00:00,50.33,100.00
129P04123,2020-03-15 11:10:00,52.57,100.00
129P04123,2020-03-15 11:20:00,51.66,100.00
129P04123,2020-03-15 11:30:00,52.19,100.00
129P04123,2020-03-15 11:40:00,52.16,100.00
129P04123,2020-03-15 11:50:00,57.32,100.00
129P04123,2020-03-15 12:00:00,50.56,100.00
129P04123,2020-03-15 12:10:00,52.02,100.00
129P04123,2020-03-15 12:20:00,50.57,100.00
129P04123,2020-03-15 12:30:00,50.54,100.00
129P04123,2020-03-15 12:40:00,53.91,100.00
129P04123,2020-03-15 12:50:00,53.33,100.00
129P04123,2020-03-15 13:00:00,54.13,100.00
129P04123,2020-03-15 13:10:00,50.97,100.00
129P04123,2020-03-15 13:20:00,50.25,100.00
129P04123,2020-03-15 13:30:00,51.62,100.00
129P04123,2020-03-15 13:40:00,52.30,100.00
129P04123,2020-03-15 13:50:00,52.90,100.00
129P04123,2020-03-15 14:00:00,53.39,99.80
129P04123,2020-03-15 14:10:00,52.29,100.00
129P04123,2020-03-15 14:20:00,50.04,100.00
