tmc,tstamp,speed
129P04124,2020-03-10 20:20:00,53.86,99.50
129P04124,2020-03-10 20:30:00,55.46,100.00
129P04124,2020-03-10 20:40:00,50.15,100.00
129P04124,2020-03-10 20:50:00,51.48,100.00
129P04124,2020-03-10 21:00:00,50.97,100.00
129P04124,2020-03-10 21:10:00,56.98,100.00
129P04124,2020-03-10 21:20:00,55.90,94.50
129P04124,2020-03-10 21:30:00,53.15,100.00
129P04124,2020-03-10 21:40:00,55.45,90.90
129P04124,2020-03-10 21:50:00,54.99,93.80
129P04124,2020-03-10 22:00:00,54.75,100.00
129P04124,2020-03-10 22:10:00,53.74,100.00
129P04124,2020-03-10 22:20:00,56.05,94.20
129P04124,2020-03-10 22:30:00,54.67,97.20
129P04124,2020-03-10 22:40:00,55.71,86.00
129P04124,2020-03-10 22:50:00,56.23,97.80
129P04124,2020-03-10 23:00:00,64.57,39.80
129P04124,2020-03-10 23:10:00,49.65,49.00
129P04124,2020-03-10 23:20:00,53.78,84.90
129P04124,2020-03-10 23:30:00,50.94,74.00
129P04124,2020-03-10 23:40:00,57.72,84.10
129P04124,2020-03-10 23:50:00,58.08,89.20
129P04123,2020-03-10 00:00:00,53.69,57.30
129P04123,2020-03-10 00:10:00,53.20,60.00
129P04123,2020-03-10 00:20:00,57.84,74.67
129P04123,2020-03-10 00:30:00,55.89,96.30
129P04123,2020-03-10 00:40:00,55.77,96.90
129P04123,2020-03-10 00:50:00,60.00,100.00
129P04123,2020-03-10 01:00:00,60.00,99.14
129P04123,2020-03-10 01:10:00,60.46,95.57
129P04123,2020-03-10 01:20:00,61.84,88.90
129P04123,2020-03-10 01:30:00,59.08,80.30
129P04123,2020-03-10 01:40:00,49.88,64.80
129P04123,2020-03-10 01:50:00,66.47,34.00
129P04123,2020-03-10 02:00:00,55.07,43.80
129P04123,2020-03-10 02:10:00,51.63,80.50
129P04123,2020-03-10 02:20:00,56.16,92.90
129P04123,2020-03-10 02:30:00,57.32,80.33
129P04123,2020-03-10 02:40:00,56.00,70.30
129P04123,2020-03-10 02:50:00,59.00,81.50
129P04123,2020-03-10 03:00:00,59.00,80.00
129P04123,2020-03-10 03:10:00,73.70,28.70
129P04123,2020-03-10 03:20:00,74.05,62.00
129P04123,2020-03-10 03:30:00,74.78,54.20
129P04123,2020-03-10 03:40:00,69.00,48.67
129P04123,2020-03-10 03:50:00,69.00,84.50
129P04123,2020-03-10 04:00:00,69.00,90.40
129P04123,2020-03-10 04:10:00,65.26,88.80
129P04123,2020-03-10 04:20:00,64.59,64.30
129P04123,2020-03-10 04:30:00,63.79,95.20
129P04123,2020-03-10 04:40:00,62.69,98.50
129P04123,2020-03-10 04:50:00,65.23,89.20
129P04123,2020-03-10 05:00:00,59.01,39.30
129P04123,2020-03-10 05:10:00,50.30,17.90
129P04123,2020-03-10 05:20:00,56.88,88.80
129P04123,2020-03-10 05:30:00,55.00,91.40
129P04123,2020-03-10 05:40:00,58.41,91.70
129P04123,2020-03-10 05:50:00,58.48,91.40
129P04123,2020-03-10 06:00:00,59.19,99.50
129P04123,2020-03-10 06:10:00,52.80,100.00
129P04123,2020-03-10 06:20:00,55.92,100.00
129P04123,2020-03-10 06:30:00,54.70,100.00
