tmc,tstamp,speed
129P04124,2020-03-13 00:00:00,56.51,63.78
129P04124,2020-03-13 00:10:00,59.23,92.80
129P04124,2020-03-13 00:20:00,58.48,88.20
129P04124,2020-03-13 00:30:00,59.41,67.60
129P04124,2020-03-13 00:40:00,49.02,29.70
129P04124,2020-03-13 00:50:00,48.67,49.90
129P04124,2020-03-13 01:00:00,44.60,37.00
129P04124,2020-03-13 01:10:00,50.22,94.33
129P04124,2020-03-13 01:20:00,50.09,83.80
129P04124,2020-03-13 01:30:00,50.05,94.50
129P04124,2020-03-13 01:40:00,60.48,43.71
129P04124,2020-03-13 01:50:00,53.39,58.80
129P04124,2020-03-13 02:00:00,50.60,85.00
129P04124,2020-03-13 02:10:00,56.04,92.80
129P04124,2020-03-13 02:20:00,59.51,85.60
129P04124,2020-03-13 02:30:00,62.42,70.86
129P04124,2020-03-13 02:40:00,56.00,99.86
129P04124,2020-03-13 02:50:00,57.00,99.44
129P04124,2020-03-13 03:00:00,60.00,95.50
129P04124,2020-03-13 03:10:00,54.73,68.43
129P04124,2020-03-13 03:20:00,58.09,34.20
129P04124,2020-03-13 03:30:00,59.26,76.10
129P04124,2020-03-13 03:40:00,55.37,85.60
129P04124,2020-03-13 03:50:00,52.89,74.10
129P04124,2020-03-13 04:00:00,57.89,95.80
129P04124,2020-03-13 04:10:00,61.46,72.20
129P04124,2020-03-13 04:20:00,59.11,86.70
129P04124,2020-03-13 04:30:00,60.25,80.80
129P04124,2020-03-13 04:40:00,53.24,58.29
129P04124,2020-03-13 04:50:00,57.42,88.10
129P04124,2020-03-13 05:00:00,57.81,67.90
129P04124,2020-03-13 05:10:00,57.57,97.00
129P04124,2020-03-13 05:20:00,61.23,76.90
129P04124,2020-03-13 05:30:00,58.55,86.50
129P04124,2020-03-13 05:40:00,61.06,92.50
129P04124,2020-03-13 05:50:00,56.93,88.80
129P04124,2020-03-13 06:00:00,59.57,93.70
129P04124,2020-03-13 06:10:00,59.61,96.20
129P04124,2020-03-13 06:20:00,57.59,100.00
129P04124,2020-03-13 06:30:00,60.92,85.80
129P04124,2020-03-13 06:40:00,56.31,100.00
129P04124,2020-03-13 06:50:00,53.71,100.00
129P04124,2020-03-13 07:00:00,57.58,87.80
129P04124,2020-03-13 07:10:00,58.80,95.50
129P04124,2020-03-13 07:20:00,56.39,100.00
129P04124,2020-03-13 07:30:00,54.79,100.00
129P04124,2020-03-13 07:40:00,55.72,100.00
129P04124,2020-03-13 07:50:00,57.38,97.20
129P04124,2020-03-13 08:00:00,54.10,100.00
129P04124,2020-03-13 08:10:00,57.20,98.30
129P04124,2020-03-13 08:20:00,55.67,100.00
129P04124,2020-03-13 08:30:00,53.49,100.00
129P04124,2020-03-13 08:40:00,53.29,100.00
129P04124,2020-03-13 08:50:00,55.53,100.00
129P04124,2020-03-13 09:00:00,54.22,93.60
129P04124,2020-03-13 09:10:00,55.97,100.00
129P04124,2020-03-13 09:20:00,53.18,100.00
129P04124,2020-03-13 09:30:00,53.48,100.00
129P04124,2020-03-13 09:40:00,53.34,100.00
129P04124,2020-03-13 09:50:00,52.49,100.00
129P04124,2020-03-13 10:00:00,52.89,100.00
129P04124,2020-03-13 10:10:00,51.89,100.00
129P04124,2020-03-13 10:20:00,51.09,100.00
129P04124,2020-03-13 10:30:00,51.30,100.00
129P04124,2020-03-13 10:40:00,50.98,100.00
129P04124,2020-03-13 10:50:00,51.19,100.00
129P04124,2020-03-13 11:00:00,51.87,100.00
129P04124,2020-03-13 11:10:00,52.59,98.60
129P04124,2020-03-13 11:20:00,50.58,100.00
129P04124,2020-03-13 11:30:00,50.79,100.00
129P04124,2020-03-13 11:40:00,50.98,100.00
129P04124,2020-03-13 11:50:00,51.98,100.00
129P04124,2020-03-13 12:00:00,51.89,100.00
129P04124,2020-03-13 12:10:00,50.69,100.00
129P04124,2020-03-13 12:20:00,50.77,100.00
129P04124,2020-03-13 12:30:00,49.57,100.00
129P04124,2020-03-13 12:40:00,50.89,100.00
129P04124,2020-03-13 12:50:00,52.39,100.00
129P04124,2020-03-13 13:00:00,51.57,100.00
129P04124,2020-03-13 13:10:00,51.47,100.00
129P04124,2020-03-13 13:20:00,50.70,100.00
129P04124,2020-03-13 13:30:00,51.68,100.00
129P04124,2020-03-13 13:40:00,50.43,100.00
129P04124,2020-03-13 13:50:00,51.19,100.00
129P04124,2020-03-13 14:00:00,51.95,100.00
129P04124,2020-03-13 14:10:00,51.73,100.00
129P04124,2020-03-13 14:20:00,46.40,100.00
129P04124,2020-03-13 14:30:00,41.75,100.00
129P04124,2020-03-13 14:40:00,46.68,100.00
129P04124,2020-03-13 14:50:00,48.99,92.30
129P04124,2020-03-13 15:00:00,52.23,86.40
129P04124,2020-03-13 15:10:00,54.10,63.90
129P04124,2020-03-13 15:20:00,50.45,94.80
129P04124,2020-03-13 15:30:00,50.49,100.00
129P04124,2020-03-13 15:40:00,50.49,99.60
129P04124,2020-03-13 15:50:00,51.56,100.00
129P04124,2020-03-13 16:00:00,56.47,100.00
129P04124,2020-03-13 16:10:00,56.73,59.80
129P04124,2020-03-13 16:20:00,53.99,96.60
129P04124,2020-03-13 16:30:00,54.17,97.30
129P04124,2020-03-13 16:40:00,53.68,100.00
129P04124,2020-03-13 16:50:00,52.27,89.90
129P04124,2020-03-13 17:00:00,52.07,95.20
129P04124,2020-03-13 17:10:00,53.83,100.00
129P04124,2020-03-13 17:20:00,47.14,100.00
129P04124,2020-03-13 17:30:00,39.76,100.00
129P04124,2020-03-13 17:40:00,31.92,100.00
129P04124,2020-03-13 17:50:00,52.69,100.00
129P04124,2020-03-13 18:00:00,53.67,100.00
129P04124,2020-03-13 18:10:00,49.89,100.00
129P04124,2020-03-13 18:20:00,51.76,100.00
129P04124,2020-03-13 18:30:00,55.25,85.70
129P04124,2020-03-13 18:40:00,53.58,99.30
129P04124,2020-03-13 18:50:00,56.08,94.50
129P04124,2020-03-13 19:00:00,55.58,93.80
129P04124,2020-03-13 19:10:00,51.06,98.50
129P04124,2020-03-13 19:20:00,53.97,99.20
129P04124,2020-03-13 19:30:00,56.29,100.00
129P04124,2020-03-13 19:40:00,55.56,93.00
129P04124,2020-03-13 19:50:00,56.58,99.50
129P04124,2020-03-13 20:00:00,52.39,100.00
129P04124,2020-03-13 20:10:00,51.42,88.70
129P04124,2020-03-13 20:20:00,51.46,85.50
129P04124,2020-03-13 20:30:00,52.94,96.80
129P04124,2020-03-13 20:40:00,52.00,99.40
129P04124,2020-03-13 20:50:00,52.86,83.50
129P04124,2020-03-13 21:00:00,53.09,98.20
129P04124,2020-03-13 21:10:00,50.66,100.00
129P04124,2020-03-13 21:20:00,50.58,100.00
129P04124,2020-03-13 21:30:00,51.68,100.00
129P04124,2020-03-13 21:40:00,54.85,87.70
129P04124,2020-03-13 21:50:00,52.66,96.00
129P04124,2020-03-13 22:00:00,53.48,100.00
129P04124,2020-03-13 22:10:00,57.23,59.60
129P04124,2020-03-13 22:20:00,50.81,100.00
129P04124,2020-03-13 22:30:00,57.28,96.40
129P04124,2020-03-13 22:40:00,56.13,91.20
129P04124,2020-03-13 22:50:00,55.14,100.00
129P04124,2020-03-13 23:00:00,55.94,96.30
129P04124,2020-03-13 23:10:00,53.40,89.30
129P04124,2020-03-13 23:20:00,52.44,82.20
129P04124,2020-03-13 23:30:00,54.38,98.60
129P04124,2020-03-13 23:40:00,58.07,75.70
129P04124,2020-03-13 23:50:00,57.30,89.30
129P04123,2020-03-13 00:00:00,47.69,44.25
129P04123,2020-03-13 00:10:00,52.97,81.10
129P04123,2020-03-13 00:20:00,54.15,87.90
129P04123,2020-03-13 00:30:00,49.99,93.80
129P04123,2020-03-13 00:40:00,45.94,76.40
129P04123,2020-03-13 00:50:00,44.07,70.90
129P04123,2020-03-13 01:00:00,35.64,42.86
129P04123,2020-03-13 01:10:00,35.00,78.33
129P04123,2020-03-13 01:20:00,36.03,94.20
129P04123,2020-03-13 01:30:00,46.62,82.00
129P04123,2020-03-13 01:40:00,47.13,36.70
129P04123,2020-03-13 01:50:00,48.15,71.20
129P04123,2020-03-13 02:00:00,52.00,93.60
129P04123,2020-03-13 02:10:00,52.00,90.20
129P04123,2020-03-13 02:20:00,55.29,67.00
129P04123,2020-03-13 02:30:00,59.96,50.57
129P04123,2020-03-13 02:40:00,62.00,70.00
129P04123,2020-03-13 02:50:00,58.00,83.22
129P04123,2020-03-13 03:00:00,57.00,45.00
129P04123,2020-03-13 03:10:00,57.00,54.67
129P04123,2020-03-13 03:20:00,61.12,49.10
129P04123,2020-03-13 03:30:00,66.84,49.10
129P04123,2020-03-13 03:40:00,66.51,76.70
129P04123,2020-03-13 03:50:00,60.93,64.70
129P04123,2020-03-13 04:00:00,59.00,66.00
129P04123,2020-03-13 04:10:00,61.59,94.80
129P04123,2020-03-13 04:20:00,62.30,56.20
129P04123,2020-03-13 04:30:00,61.94,45.20
129P04123,2020-03-13 04:40:00,58.55,85.71
129P04123,2020-03-13 04:50:00,57.79,92.50
129P04123,2020-03-13 05:00:00,61.83,79.30
129P04123,2020-03-13 05:10:00,58.93,93.50
129P04123,2020-03-13 05:20:00,58.44,73.30
129P04123,2020-03-13 05:30:00,53.86,85.30
129P04123,2020-03-13 05:40:00,56.48,96.80
129P04123,2020-03-13 05:50:00,57.90,98.70
129P04123,2020-03-13 06:00:00,62.40,92.30
129P04123,2020-03-13 06:10:00,65.66,100.00
129P04123,2020-03-13 06:20:00,58.15,100.00
129P04123,2020-03-13 06:30:00,57.22,100.00
129P04123,2020-03-13 06:40:00,52.98,100.00
129P04123,2020-03-13 06:50:00,54.67,100.00
129P04123,2020-03-13 07:00:00,55.73,100.00
129P04123,2020-03-13 07:10:00,54.70,100.00
129P04123,2020-03-13 07:20:00,54.37,100.00
129P04123,2020-03-13 07:30:00,53.68,100.00
129P04123,2020-03-13 07:40:00,55.51,92.30
129P04123,2020-03-13 07:50:00,55.04,97.70
129P04123,2020-03-13 08:00:00,48.51,100.00
129P04123,2020-03-13 08:10:00,52.65,100.00
129P04123,2020-03-13 08:20:00,55.89,100.00
129P04123,2020-03-13 08:30:00,52.47,100.00
129P04123,2020-03-13 08:40:00,52.18,100.00
129P04123,2020-03-13 08:50:00,54.33,90.30
129P04123,2020-03-13 09:00:00,52.99,93.20
129P04123,2020-03-13 09:10:00,50.46,99.20
129P04123,2020-03-13 09:20:00,51.34,100.00
129P04123,2020-03-13 09:30:00,49.94,100.00
129P04123,2020-03-13 09:40:00,47.20,100.00
129P04123,2020-03-13 09:50:00,45.43,100.00
129P04123,2020-03-13 10:00:00,49.39,100.00
129P04123,2020-03-13 10:10:00,48.84,99.30
129P04123,2020-03-13 10:20:00,48.77,100.00
129P04123,2020-03-13 10:30:00,49.44,100.00
129P04123,2020-03-13 10:40:00,44.84,100.00
129P04123,2020-03-13 10:50:00,47.16,100.00
129P04123,2020-03-13 11:00:00,47.89,100.00
129P04123,2020-03-13 11:10:00,48.08,99.90
129P04123,2020-03-13 11:20:00,48.03,99.00
129P04123,2020-03-13 11:30:00,44.68,100.00
129P04123,2020-03-13 11:40:00,43.28,100.00
129P04123,2020-03-13 11:50:00,45.78,100.00
129P04123,2020-03-13 12:00:00,48.39,99.00
129P04123,2020-03-13 12:10:00,48.17,100.00
129P04123,2020-03-13 12:20:00,47.36,100.00
129P04123,2020-03-13 12:30:00,40.91,99.90
129P04123,2020-03-13 12:40:00,46.99,100.00
129P04123,2020-03-13 12:50:00,46.68,100.00
129P04123,2020-03-13 13:00:00,42.30,100.00
129P04123,2020-03-13 13:10:00,44.05,100.00
129P04123,2020-03-13 13:20:00,43.19,100.00
129P04123,2020-03-13 13:30:00,47.13,100.00
129P04123,2020-03-13 13:40:00,49.34,100.00
129P04123,2020-03-13 13:50:00,47.18,100.00
129P04123,2020-03-13 14:00:00,44.66,100.00
129P04123,2020-03-13 14:10:00,46.28,100.00
129P04123,2020-03-13 14:20:00,43.54,100.00
129P04123,2020-03-13 14:30:00,43.80,100.00
129P04123,2020-03-13 14:40:00,43.17,100.00
129P04123,2020-03-13 14:50:00,43.19,100.00
129P04123,2020-03-13 15:00:00,44.74,100.00
129P04123,2020-03-13 15:10:00,41.53,90.30
129P04123,2020-03-13 15:20:00,37.44,100.00
129P04123,2020-03-13 15:30:00,45.05,100.00
129P04123,2020-03-13 15:40:00,43.99,99.80
129P04123,2020-03-13 15:50:00,42.40,96.10
129P04123,2020-03-13 16:00:00,45.91,91.60
129P04123,2020-03-13 16:10:00,50.22,74.50
129P04123,2020-03-13 16:20:00,45.48,94.90
129P04123,2020-03-13 16:30:00,48.70,93.00
129P04123,2020-03-13 16:40:00,45.14,100.00
129P04123,2020-03-13 16:50:00,47.85,100.00
129P04123,2020-03-13 17:00:00,47.60,100.00
129P04123,2020-03-13 17:10:00,48.41,100.00
129P04123,2020-03-13 17:20:00,40.12,93.20
129P04123,2020-03-13 17:30:00,29.23,81.30
129P04123,2020-03-13 17:40:00,32.70,87.90
129P04123,2020-03-13 17:50:00,41.88,99.90
129P04123,2020-03-13 18:00:00,43.77,100.00
129P04123,2020-03-13 18:10:00,45.26,94.40
129P04123,2020-03-13 18:20:00,48.84,100.00
129P04123,2020-03-13 18:30:00,51.40,100.00
129P04123,2020-03-13 18:40:00,50.58,100.00
129P04123,2020-03-13 18:50:00,49.43,100.00
129P04123,2020-03-13 19:00:00,44.84,87.30
129P04123,2020-03-13 19:10:00,48.97,98.10
129P04123,2020-03-13 19:20:00,45.49,97.00
129P04123,2020-03-13 19:30:00,49.28,100.00
129P04123,2020-03-13 19:40:00,48.23,98.30
129P04123,2020-03-13 19:50:00,49.75,98.50
129P04123,2020-03-13 20:00:00,51.78,99.70
129P04123,2020-03-13 20:10:00,45.85,96.10
129P04123,2020-03-13 20:20:00,45.19,94.10
129P04123,2020-03-13 20:30:00,49.38,99.80
129P04123,2020-03-13 20:40:00,51.14,99.20
129P04123,2020-03-13 20:50:00,54.17,81.20
129P04123,2020-03-13 21:00:00,52.08,93.80
129P04123,2020-03-13 21:10:00,48.76,100.00
129P04123,2020-03-13 21:20:00,50.49,100.00
129P04123,2020-03-13 21:30:00,50.00,100.00
129P04123,2020-03-13 21:40:00,53.30,77.20
129P04123,2020-03-13 21:50:00,56.82,76.70
129P04123,2020-03-13 22:00:00,55.93,100.00
129P04123,2020-03-13 22:10:00,57.60,94.80
129P04123,2020-03-13 22:20:00,52.73,100.00
129P04123,2020-03-13 22:30:00,53.59,99.10
129P04123,2020-03-13 22:40:00,55.93,97.80
129P04123,2020-03-13 22:50:00,58.04,96.90
129P04123,2020-03-13 23:00:00,54.48,72.80
129P04123,2020-03-13 23:10:00,51.99,92.10
129P04123,2020-03-13 23:20:00,51.09,94.80
129P04123,2020-03-13 23:30:00,53.97,95.50
129P04123,2020-03-13 23:40:00,54.84,75.90
129P04123,2020-03-13 23:50:00,64.00,60.00
129P04122,2020-03-13 00:00:00,48.48,44.25
129P04122,2020-03-13 00:10:00,43.00,81.10
129P04122,2020-03-13 00:20:00,54.33,87.90
129P04122,2020-03-13 00:30:00,50.40,93.80
129P04122,2020-03-13 00:40:00,50.40,76.40
129P04122,2020-03-13 00:50:00,50.60,70.90
129P04122,2020-03-13 01:00:00,51.00,42.86
129P04122,2020-03-13 01:10:00,51.00,78.33
129P04122,2020-03-13 01:20:00,50.90,94.20
129P04122,2020-03-13 01:30:00,47.98,82.00
129P04122,2020-03-13 01:40:00,49.76,36.70
