tmc,tstamp,speed
129P04124,2020-03-20 00:00:00,55.53,43.50
129P04124,2020-03-20 00:10:00,54.12,75.80
129P04124,2020-03-20 00:20:00,64.78,49.60
129P04124,2020-03-20 00:30:00,54.09,62.33
129P04124,2020-03-20 00:40:00,,
129P04124,2020-03-20 00:50:00,48.67,53.43
129P04124,2020-03-20 01:00:00,50.27,66.17
129P04124,2020-03-20 01:10:00,52.93,86.22
129P04124,2020-03-20 01:20:00,56.69,62.50
129P04124,2020-03-20 01:30:00,51.30,86.70
129P04124,2020-03-20 01:40:00,49.65,80.60
129P04124,2020-03-20 01:50:00,60.15,40.50
129P04124,2020-03-20 02:00:00,58.19,76.90
129P04124,2020-03-20 02:10:00,57.39,59.70
129P04124,2020-03-20 02:20:00,60.40,78.30
129P04124,2020-03-20 02:30:00,63.00,78.67
129P04124,2020-03-20 02:40:00,59.00,100.00
129P04124,2020-03-20 02:50:00,59.20,99.60
129P04124,2020-03-20 03:00:00,56.68,77.50
129P04124,2020-03-20 03:10:00,56.43,82.90
129P04124,2020-03-20 03:20:00,61.76,80.50
129P04124,2020-03-20 03:30:00,59.43,94.30
129P04124,2020-03-20 03:40:00,66.00,48.67
129P04124,2020-03-20 03:50:00,54.26,66.50
129P04124,2020-03-20 04:00:00,54.20,68.90
129P04124,2020-03-20 04:10:00,51.97,60.70
129P04124,2020-03-20 04:20:00,64.22,34.60
129P04124,2020-03-20 04:30:00,63.11,47.40
129P04124,2020-03-20 04:40:00,61.09,75.30
129P04124,2020-03-20 04:50:00,63.74,72.50
129P04124,2020-03-20 05:00:00,60.78,68.50
129P04124,2020-03-20 05:10:00,53.75,34.90
129P04124,2020-03-20 05:20:00,59.90,99.70
129P04124,2020-03-20 05:30:00,61.70,69.80
129P04124,2020-03-20 05:40:00,61.01,73.10
129P04124,2020-03-20 05:50:00,54.78,78.10
129P04124,2020-03-20 06:00:00,59.41,82.60
129P04124,2020-03-20 06:10:00,57.81,100.00
129P04124,2020-03-20 06:20:00,56.05,100.00
129P04124,2020-03-20 06:30:00,55.85,100.00
129P04124,2020-03-20 06:40:00,57.51,95.20
129P04124,2020-03-20 06:50:00,54.22,100.00
129P04124,2020-03-20 07:00:00,60.02,55.90
129P04124,2020-03-20 07:10:00,59.44,73.00
129P04124,2020-03-20 07:20:00,60.15,69.10
129P04124,2020-03-20 07:30:00,56.18,92.90
129P04124,2020-03-20 07:40:00,58.47,99.10
129P04124,2020-03-20 07:50:00,54.87,100.00
129P04124,2020-03-20 08:00:00,57.50,100.00
129P04124,2020-03-20 08:10:00,54.78,100.00
129P04124,2020-03-20 08:20:00,54.14,100.00
129P04124,2020-03-20 08:30:00,62.80,46.40
129P04124,2020-03-20 08:40:00,60.86,74.30
129P04124,2020-03-20 08:50:00,57.44,99.70
129P04124,2020-03-20 09:00:00,57.72,98.20
129P04124,2020-03-20 09:10:00,59.69,95.40
129P04124,2020-03-20 09:20:00,53.29,100.00
