tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,spd_limit,shape_Length,firstnm
129-04338,0,1.837985009,2.937389972,1.082774396,SR128 SB,MA-127/Washington St/Exit 11,Crafts Rd/Exit 12,55,1746.137735,Crafts Rd/Exit 12
129N04338,1,2.937389972,3.061180582,0.121972219,SR128 SB,Crafts Rd/Exit 12,Crafts Rd/Exit 12,55,196.3186379,Crafts Rd/Exit 12
129-04337,2,3.061180582,3.539009194,0.466153214,SR128 SB,Crafts Rd/Exit 12,Concord St/Exit 13,55,751.3427196,Concord St/Exit 13
129N04337,3,3.539009194,3.722150404,0.179962883,SR128 SB,Concord St/Exit 13,Concord St/Exit 13,55,289.9561467,Concord St/Exit 13
129-04336,4,3.722150404,4.275854187,0.541705313,SR128 SB,Concord St/Exit 13,MA-133/Essex Ave/Exit 14,55,875.2710471,RT-133/Essex Ave/Exit 14
129N04336,5,4.275854187,4.466957615,0.187646091,SR128 SB,MA-133/Essex Ave/Exit 14,MA-133/Essex Ave/Exit 14,55,302.26275,RT-133/Essex Ave/Exit 14
129-04335,6,4.466957615,7.299303074,2.78302618,SR128 SB,MA-133/Essex Ave/Exit 14,School St/Exit 15,55,4486.96035,School St/Exit 15
129N04335,7,7.299303074,7.464422913,0.161543434,SR128 SB,School St/Exit 15,School St/Exit 15,55,261.4775867,School St/Exit 15
129-04334,8,7.464422913,8.791735967,1.301007699,SR128 SB,School St/Exit 15,Pine St/Exit 16,55,2100.144947,Pine St/Exit 16
129N04334,9,8.791735967,8.979915185,0.183471468,SR128 SB,Pine St/Exit 16,Pine St/Exit 16,55,297.9411485,Pine St/Exit 16
129-04333,10,8.979915185,10.34493281,1.339315822,SR128 SB,Pine St/Exit 16,Grapevine Rd/Exit 17,55,2159.682085,Grapevine Rd/Exit 17
129N04333,11,10.34493281,10.50110776,0.15247892,SR128 SB,Grapevine Rd/Exit 17,Grapevine Rd/Exit 17,55,247.0694904,Grapevine Rd/Exit 17
129-04332,12,10.50110776,12.67034095,2.131575564,SR128 SB,Grapevine Rd/Exit 17,MA-22/Essex St/Exit 18,55,3439.52231,RT-22/Essex St
129N04332,13,12.67034095,12.76052485,0.0889122,SR128 SB,MA-22/Essex St/Exit 18,MA-22/Essex St/Exit 18,55,142.7680526,RT-22/Essex St
129-04331,14,12.76052485,13.7649238,0.987207551,SR128 SB,MA-22/Essex St/Exit 18,Sohier Rd/Brimbal Ave/Exit 19,55,1589.783626,Sohier Rd/Brimbal Ave/Exit 19
129N04331,15,13.7649238,14.04955995,0.279331179,SR128 SB,Sohier Rd/Brimbal Ave/Exit 19,Sohier Rd/Brimbal Ave/Exit 19,55,450.2644907,Sohier Rd/Brimbal Ave/Exit 19
129-04667,16,14.04955995,14.40021896,0.342891786,SR128 SB,Sohier Rd/Brimbal Ave/Exit 19,MA-1A/Dodge St /Exit 20,55,554.7232092,RT-1A/Dodge St/Exit 20
129N04667,17,14.40021896,14.65834334,0.253253104,SR128 SB,MA-1A/Dodge St/Exit 20,MA-1A/Dodge St /Exit 20,55,408.6928864,RT-1A/Dodge St/Exit 20
129-04666,18,14.65834334,15.51123539,0.837802516,SR128 SB,MA-1A/Dodge St /Exit 20,Trask Ln/Exit 21,55,1349.274301,Trask Ln/Exit 21
129N04666,19,15.51123539,15.55989016,0.048506498,SR128 SB,Trask Ln/Exit 21,Trask Ln/Exit 21,55,77.0142644,Trask Ln/Exit 21
129-04665,20,15.55989016,16.14529623,0.572647498,SR128 SB,Trask Ln/Exit 21,MA-62/Exit 22,55,926.0066694,RT-62/Exit 22
129N04665,21,16.14529623,16.20024762,0.052854106,SR128 SB,MA-62/Exit 22,MA-62/Exit 22,55,86.89473702,RT-62/Exit 22
129-04664,22,16.20024762,16.77627658,0.568935883,SR128 SB,MA-62/Exit 22,MA-35/Exit 23,55,911.9947855,RT-35/Exit 23
129N04664,23,16.77627658,16.99954667,0.219921701,SR128 SB,MA-35/Exit 23,MA-35/Exit 23,55,353.3869235,RT-35/Exit 23
129-04663,24,16.99954667,17.49518531,0.486333271,SR128 SB,MA-35/Exit 23,Endicott St/Exit 24,55,783.987784,Endicott St/Exit 24
129N04663,25,17.49518531,17.63807246,0.140892138,SR128 SB,Endicott St/Exit 24,Endicott St/Exit 24,55,226.0363926,Endicott St/Exit 24
129-04329,26,17.63807246,18.03861077,0.393272371,SR128 SB,Endicott St/Exit 24,MA-114/Andover St/Exit 25,55,633.9091599,RT-114/Andover St/Exit 25
129N04329,27,18.03861077,18.60776195,0.559943993,SR128 SB,MA-114/Andover St/Exit 25,MA-114/Andover St/Exit 25,55,902.6018226,RT-114/Andover St/Exit 25
129-04328,28,18.60776195,19.05586023,0.440828663,SR128 SB,MA-114/Andover St/Exit 25,Lowell St/Exit 26,50,710.4203601,Lowell St/Exit 26
129N04328,29,19.05586023,19.10186792,0.044193152,SR128 SB,Lowell St/Exit 26,Lowell St/Exit 26,55,71.91618636,Lowell St/Exit 26
129-04327,30,19.10186792,19.72199337,0.609800488,SR128 SB,Lowell St/Exit 26,Centennial Dr/Forest St/Exit 28,55,981.8229233,Centennial Dr/Forest St/Exit 28
129N04327,31,19.72199337,20.01942839,0.291785444,SR128 SB,Centennial Dr/Forest St/Exit 28,Centennial Dr/Forest St/Exit 28,55,471.2632445,Centennial Dr/Forest St/Exit 28
129-04326,32,20.01942839,20.26193675,0.238607094,SR128 SB,Centennial Dr/Forest St/Exit 28,I-95/Exit 29,55,383.8346628,I-93/Exit 29
129N04326,33,20.26193675,21.04345349,0.768726899,SR128 SB,I-95/Exit 29,I-95/Exit 29,55,1236.793074,I-93/Exit 29
