tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,spd_limit,shape_Length,firstnm
129P04177,0,0.022722905,0.191496421,0.16967053,SR3 NB,Exit 1,0.2 miles north of Exit 1,60,273.1522729,US-6/RT-3A
129+04178,1,0.191496421,2.286112986,2.108451011,SR3 NB,US-6/MA-3,Herring Pond Rd/Exit 2,60,3388.656625,Herring Pond Rd/Exit 2
129P04178,2,2.286112986,2.496713548,0.211928144,SR3 NB,Herring Pond Rd/Exit 2,Herring Pond Rd/Exit 2,60,340.6405077,Herring Pond Rd/Exit 2
129+04179,3,2.496713548,6.818268946,4.343102966,SR3 NB,Herring Pond Rd/Exit 2,MA-3/Clark Rd/Exit 3,60,6990.980117,Clark Rd/Exit 3
129P04179,4,6.818268946,7.026330302,0.20904648,SR3 NB,MA-3/Clark Rd/Exit 3,MA-3/Clark Rd/Exit 3,60,336.5938183,Clark Rd/Exit 3
129+04180,5,7.026330302,11.72274752,4.72312036,SR3 NB,MA-3/Clark Rd/Exit 3,Plymouth Plantation Hwy/Exit 4,60,7598.041073,Plimoth Plantation Hwy/Exit 4
129P04180,6,11.72274752,12.0267462,0.305430879,SR3 NB,Plymouth Plantation Hwy/Exit 4,Plymouth Plantation Hwy/Exit 4,60,491.7769608,Plimoth Plantation Hwy/Exit 4
129+04181,7,12.0267462,12.3519877,0.327416331,SR3 NB,Plymouth Plantation Hwy/Exit 4,Long Pond Rd/Exit 5,60,526.2226822,Long Pond Rd/Exit 5
129P04181,8,12.3519877,12.48496129,0.133560614,SR3 NB,Long Pond Rd/Exit 5,Long Pond Rd/Exit 5,60,215.1001128,Long Pond Rd/Exit 5
129+04182,9,12.48496129,14.10943545,1.631124182,SR3 NB,Long Pond Rd/Exit 5,Exit 6,60,2627.517856,US-44/Exit 6
129P04182,10,14.10943545,14.69328467,0.587064126,SR3 NB,Exit 6,Exit 6,60,944.5768105,US-44/Exit 6
129+04183,11,14.69328467,15.23312817,0.54164415,SR3 NB,Exit 6,Cherry St/Exit 7,60,873.3939648,Cherry St/Exit 7
129P04183,12,15.23312817,15.57478966,0.342732802,SR3 NB,Cherry St/Exit 7,Cherry St/Exit 7,60,552.3882467,Cherry St/Exit 7
129+04184,13,15.57478966,16.59347211,1.02216274,SR3 NB,Cherry St/Exit 7,Smiths Ln/Exit 8,60,1647.932759,Smith Lane/Exit 8
129P04184,14,16.59347211,16.77919022,0.186632715,SR3 NB,Smiths Ln/Exit 8,Smiths Ln/Exit 8,60,300.5276542,Smith Lane/Exit 8
129+04185,15,16.77919022,17.46769262,0.691947191,SR3 NB,Smiths Ln/Exit 8,MA-3/Main St/Exit 9,60,1113.351921,RT-3A/Main St/Exit 9
129P04185,16,17.46769262,17.59536127,0.129289002,SR3 NB,MA-3/Main St/Exit 9,MA-3/Main St/Exit 9,60,206.6890238,RT-3A/Main St/Exit 9
129+04186,17,17.59536127,19.0855948,1.496749592,SR3 NB,MA-3/Main St/Exit 9,MA-3/Tremont St/Exit 10,60,2410.285856,RT-3A/Tremont St/Exit 10
129P04186,18,19.0855948,19.25760222,0.171590929,SR3 NB,MA-3/Tremont St/Exit 10,MA-3/Tremont St/Exit 10,60,278.1347089,RT-3A/Tremont St/Exit 10
