tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,lanes,spd_limit,shape_Length,firstnm
129P04325,0,121.9196363,122.7198596,0.78686314,I495 NB,South of merge onto I-95,I-95,2,45,1268.470095,I-95 (Salisbury)
129+04325,1,120.691743,121.9196363,1.205664499,I495 NB,MA-110/Macy St/Exit 55,South of merge onto I-95,2,60,1943.836737,I-95 (Salisbury)
129P04324,2,120.5885646,120.691743,0.101172542,I495 NB,MA-110/Macy St/Exit 55,MA-110/Macy St/Exit 55,2,65,163.3365025,RT-110/Macy St/Exit 55
129+04324,3,119.9166278,120.5885646,0.660037391,I495 NB,MA-150/Hillside Ave/Exit 54,MA-110/Macy St/Exit 55,3,65,1064.205597,RT-110/Macy St/Exit 55
129P04323,4,119.6856811,119.9166278,0.2265404,I495 NB,MA-150/Hillside Ave/Exit 54,MA-150/Hillside Ave/Exit 54,3,65,365.7224778,RT-150/Hillside Ave/Exit 54
129+04323,5,116.9225366,119.6856811,2.710105248,I495 NB,Broad St/Exit 53,MA-150/Hillside Ave/Exit 54,3,65,4374.233466,RT-150/Hillside Ave/Exit 54
129P04322,6,116.4501456,116.9225366,0.46437691,I495 NB,Broad St/Exit 53,Broad St/Exit 53,3,65,747.8160012,Broad St/Exit 53
129+04322,7,113.1397387,116.4501456,3.252921895,I495 NB,MA-110/Amesbury Rd/Exit 52,Broad St/Exit 53,3,65,5240.672984,Broad St/Exit 53
129P04321,8,112.8881193,113.1397387,0.245771949,I495 NB,MA-110/Amesbury Rd/Exit 52,MA-110/Amesbury Rd/Exit 52,3,65,398.2939065,RT-110/Amesbury Rd/Exit 52
129+04321,9,110.925252,112.8881193,1.927683557,I495 NB,MA-125/Main St/Exit 51,MA-110/Amesbury Rd/Exit 52,3,65,3108.177797,RT-110/Amesbury Rd/Exit 52
129P04320,10,110.4105137,110.925252,0.506193118,I495 NB,MA-125/Main St/Exit 51,MA-125/Main St/Exit 51,3,65,814.9504438,RT-125/Main St/Exit 51
