tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,lanes,spd_limit,shape_Length,firstnm
129+04371,61,49.35744078,50.18141795,0.810333399,I95 NB,MA-225/MA-4/Bedford St/Exit 31,US-3/Middlesex Tpke/Exit 32,4,55,1308.397456,US-3/Middlesex Tpke/Exit 32
129P04370,62,48.91323158,49.35744078,0.437936853,I95 NB,MA-225/MA-4/Bedford St/Exit 31,MA-225/MA-4/Bedford St/Exit 31,4,55,705.2485393,RT-4/RT-225/Bedford St/Exit 31
129+04370,63,47.19622327,48.91323158,1.693868688,I95 NB,MA-2/Marrett Rd/Exit 30,MA-225/MA-4/Bedford St/Exit 31,4,55,2727.105311,RT-4/RT-225/Bedford St/Exit 31
129P04369,64,46.43315959,47.19622327,0.753668452,I95 NB,MA-2/Marrett Rd/Exit 30,MA-2/Marrett Rd/Exit 30,4,55,1211.863303,RT-2A/Marrett Rd/Exit 30
129+04369,65,46.07706971,46.43315959,0.352197795,I95 NB,MA-2/Exit 29,MA-2/Marrett Rd/Exit 30,4,55,565.657656,RT-2A/Marrett Rd/Exit 30
129P04368,66,45.57453609,46.07706971,0.496360894,I95 NB,MA-2/Exit 29,MA-2/Exit 29,4,55,798.2329487,RT-2/Exit 29
129+04368,67,45.14187138,45.57453609,0.426893089,I95 NB,Trapelo Rd/Exit 28,MA-2/Exit 29,4,55,687.004565,RT-2/Exit 29
129P04367,68,44.66714252,45.14187138,0.468941257,I95 NB,Trapelo Rd/Exit 28,Trapelo Rd/Exit 28,4,55,753.9285759,Trapelo Rd/Exit 28
129+04367,69,44.13985183,44.66714252,0.520598461,I95 NB,Totten Pond Rd/Winter St/Exit 27,Trapelo Rd/Exit 28,4,55,837.4001685,Trapelo Rd/Exit 28
129P04366,70,43.45173031,44.13985183,0.680559989,I95 NB,Totten Pond Rd/Winter St/Exit 27,Totten Pond Rd/Winter St/Exit 27,4,55,1092.055706,Totten Pond/Winter St/Exit 27
129+04366,71,42.02866225,43.45173031,1.405506219,I95 NB,US-20/Weston St/Exit 26,Totten Pond Rd/Winter St/Exit 27,4,55,2259.739951,Totten Pond/Winter St/Exit 27
129P04365,72,41.51471047,42.02866225,0.507427562,I95 NB,US-20/Weston St/Exit 26,US-20/Weston St/Exit 26,4,55,816.343165,US-20/Weston St/Exit 26
129+04365,73,39.99734126,41.51471047,1.497689554,I95 NB,"Exits 23, 24, 25/Recreation Rd/SR-30/I-90",US-20/Weston St/Exit 26,4,55,2410.130932,US-20/Weston St/Exit 26
129P04364,74,39.77952459,39.99734126,0.215373351,I95 NB,"Exits 23, 24, 25/Recreation Rd/SR-30/I-90","Exits 23, 24, 25/Recreation Rd/SR-30/I-90",4,55,346.0555587,I-90/Mass Pike/Exit 25
129+04364,75,39.73898615,39.77952459,0.039546648,I95 NB,"Exits 23, 24, 25/Recreation Rd/SR-30/I-90","Exits 23, 24, 25/Recreation Rd/SR-30/I-90",4,55,64.21520048,I-90/Mass Pike/Exit 25
129P04363,76,39.58757478,39.73898615,0.149318656,I95 NB,"Exits 23, 24, 25/Recreation Rd/SR-30/I-90","Exits 23, 24, 25/Recreation Rd/SR-30/I-90",4,55,240.2727935,RT-30/Exit 24
129+04363,77,39.57018726,39.58757478,0.019560672,I95 NB,"Exits 23, 24, 25/Recreation Rd/SR-30/I-90","Exits 23, 24, 25/Recreation Rd/SR-30/I-90",4,55,27.67063419,RT-30/Exit 24
