tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,lanes,spd_limit,shape_Length,firstnm
129-04145,0,0.054766722,0.457031365,0.398434263,I93 SB,New Hampshire State Line,MA-213/Exit 48,3,65,639.3330649,RT-213/Exit 48
129N04145,1,0.457031365,1.068289199,0.603428473,I93 SB,MA-213/Exit 48,MA-213/Exit 48,3,65,970.3082806,RT-213/Exit 48
129-04144,2,1.068289199,1.165072491,0.095444058,I93 SB,Pelham St/Exit 47,Pelham St/Exit 47,3,65,153.7495698,Pelham St/Exit 47
129N04144,3,1.165072491,1.553559585,0.382865705,I93 SB,Pelham St/Exit 47,Pelham St/Exit 47,3,65,616.9735581,Pelham St/Exit 47
129-04143,4,1.553559585,2.552855846,0.987566322,I93 SB,Pelham St/Exit 47,MA-110/MA-113/Exit 46,3,65,1588.430725,RT-110/RT-113/Exit 46
129N04143,5,2.552855846,3.033570398,0.474085741,I93 SB,MA-110/MA-113/Exit 46,MA-110/MA-113/Exit 46,3,65,762.305284,RT-110/RT-113/Exit 46
129-04142,6,3.033570398,3.95722449,0.910746614,I93 SB,MA-110/MA-113/Exit 46,River Rd/Exit 45,4,65,1466.908387,River Rd/Exit 45
129N04142,7,3.95722449,4.181154028,0.221183078,I93 SB,River Rd/Exit 45,River Rd/Exit 45,3,65,355.6250279,River Rd/Exit 45
129-04141,8,4.181154028,5.589271847,1.388877529,I93 SB,River Rd/Exit 45,I-495/Exit 44,3,65,2236.339713,I-495/Exit 44
129N04141,9,5.589271847,6.152898102,0.556886244,I93 SB,I-495/Exit 44,I-495/Exit 44,3,65,895.2615141,I-495/Exit 44
129-04140,10,6.152898102,6.929027188,0.767725931,I93 SB,I-495/Exit 44,MA-133/Lowell St/Exit 43,3,65,1232.656831,RT-133/Lowell St/Exit 43
129N04140,11,6.929027188,7.545002595,0.607714975,I93 SB,MA-133/Lowell St/Exit 43,MA-133/Lowell St/Exit 43,3,65,978.2580039,RT-133/Lowell St/Exit 43
129-04139,12,7.545002595,8.494426886,0.937890904,I93 SB,MA-133/Lowell St/Exit 43,Dascomb Rd/Exit 42,3,65,1508.005949,Dascomb Rd/Exit 42
129N04139,13,8.494426886,8.67364589,0.176605581,I93 SB,Dascomb Rd/Exit 42,Dascomb Rd/Exit 42,3,65,284.623354,Dascomb Rd/Exit 42
129-04138,14,8.67364589,11.5771053,2.867762998,I93 SB,Dascomb Rd/Exit 42,MA-125/Ballardvale St/Exit 41,4,65,4611.05843,RT-125/Ballardvale St/Exit 41
129N04138,15,11.5771053,11.81254912,0.232296894,I93 SB,MA-125/Ballardvale St/Exit 41,MA-125/Ballardvale St/Exit 41,4,65,373.9147119,RT-125/Ballardvale St/Exit 41
129-04137,16,11.81254912,12.4213596,0.599869319,I93 SB,MA-125/Ballardvale St/Exit 41,MA-62/Exit 40,4,65,966.9083003,RT-62/Exit 40
