tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,spd_limit,shape_Length,firstnm
129N04628,0,12.0614509,12.55091154,0.49122202,SR146 SB,Main St/Exit 5,Main St/Exit 5,65,790.0232627,Main St
129-04627,1,12.55091154,13.08938073,0.54013659,SR146 SB,Main St/Exit 5,Lackey Dam Rd/Exit 4,65,868.0098405,Lackey Dam Rd
129N04627,2,13.08938073,13.56130638,0.473582795,SR146 SB,Lackey Dam Rd/Exit 4,Lackey Dam Rd/Exit 4,65,760.7342194,Lackey Dam Rd
129-04626,3,13.56130638,15.15014435,1.588996594,SR146 SB,Lackey Dam Rd/Exit 4,MA-16/Exit 3,65,2560.848088,RT-16
129N04626,4,15.15014435,15.70674961,0.556724615,SR146 SB,MA-16/Exit 3,MA-16/Exit 3,65,897.2558102,RT-16
129-04625,5,15.70674961,17.62801662,1.922181475,SR146 SB,MA-16/Exit 3,Chocolog Rd/MA-146A/Exit 2,65,3096.795816,Chocolog Rd
129N04625,6,17.62801662,18.20636509,0.579217396,SR146 SB,Chocolog Rd/MA-146A/Exit 2,Chocolog Rd/MA-146A/Exit 2,65,932.6253695,Chocolog Rd
129-04624,7,18.20636509,20.04646546,1.842035029,SR146 SB,Chocolog Rd/MA-146A/Exit 2,MA-146A/Exit 1,65,2966.492914,RT-146A
129N04624,8,20.04646546,20.33720351,0.291206087,SR146 SB,MA-146A/Exit 1,MA-146A/Exit 1,65,468.633812,RT-146A
129-04623,9,20.33720351,21.01317467,0.675391549,SR146 SB,MA-146A/Exit 1,North of Rhode Island State Line,65,1089.663155,Providence/Worcester Co Line
129N04623,10,21.01317467,21.0323496,0.02237141,SR146 SB,North of Rhode Island State Line,Rhode Island State Line,65,30.91331591,Providence/Worcester Co Line
