tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,spd_limit,shape_Length,firstnm
129P04623,0,0.011111265,0.071247874,0.060504827,SR146 NB,Rhode Island State Line,North of Rhode Island State Line,65,96.92957762,Providence/Worcester Co Line
129+04624,1,0.071247874,1.184680286,1.113186004,SR146 NB,North of Rhode Island State Line,MA-146A,65,1794.755364,RT-146A
129P04624,2,1.184680286,1.430350723,0.245711902,SR146 NB,MA-146A/Exit 1,MA-146A/Exit 1,65,396.0658182,RT-146A
129+04625,3,1.430350723,2.650804965,1.22107887,SR146 NB,MA-146A/Exit 1,Chocolog Rd/MA-146A/Exit 2,65,1966.998212,Chocolog Rd
129P04625,4,2.650804965,3.132084743,0.483407413,SR146 NB,Chocolog Rd/MA-146A/Exit 2,Chocolog Rd/MA-146A/Exit 2,65,775.875526,Chocolog Rd
129+04626,5,3.132084743,5.332451393,2.200443818,SR146 NB,Chocolog Rd/MA-146A/Exit 2,MA-16/Exit 3,65,3546.109461,RT-16
129P04626,6,5.332451393,5.925015039,0.592735446,SR146 NB,MA-16/Exit 3,MA-16/Exit 3,65,955.1679221,RT-16
129+04627,7,5.925015039,7.635076828,1.712802439,SR146 NB,MA-16/Exit 3,Lackey Dam Rd/Exit 4,65,2756.232825,Lackey Dam Rd
129P04627,8,7.635076828,8.061566147,0.427059553,SR146 NB,Lackey Dam Rd/Exit 4,Lackey Dam Rd/Exit 4,65,687.4305263,Lackey Dam Rd
129+04628,9,8.061566147,8.487384236,0.427127809,SR146 NB,Lackey Dam Rd/Exit 4,Main St/Exit 5,65,686.2432788,Main St
129P04628,10,8.487384236,9.030313098,0.543596543,SR146 NB,Main St/Exit 5,Main St/Exit 5,65,874.5211535,Main St
