tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,lanes,spd_limit,shape_Length,firstnm
129+04596,0,0,0.177942006,0.177942006,I290 EB,,,3,55,,RT-12/Exit 7
129P04596,1,0.177942006,0.339824577,0.161882571,I290 EB,,,3,55,,RT-12/Exit 7
129+04597,2,0.339824577,0.92843863,0.588614053,I290 EB,,,3,65,,Swanson Rd/Exit 9
129P04597,3,0.92843863,1.100335732,0.171897102,I290 EB,,,3,65,,Swanson Rd/Exit 9
129+04598,4,1.100335732,1.380558794,0.280223062,I290 EB,,,3,65,,Auburn St/Exit 9
129P04598,5,1.380558794,1.555458541,0.174899747,I290 EB,,,3,65,,Auburn St/Exit 9
129+04599,6,1.555458541,2.970969425,1.415510884,I290 EB,,,3,65,,RT-12/Hope Ave/Exit 10
129P04599,7,2.970969425,3.163211503,0.192242078,I290 EB,,,3,65,,RT-12/Hope Ave/Exit 10
129+04600,8,3.163211503,3.587011047,0.423799544,I290 EB,,,3,60,,Southbridge St/Exit 11
129P04600,9,3.587011047,4.150789073,0.563778026,I290 EB,,,3,50,,Southbridge St/Exit 11
129+04601,10,4.150789073,4.676787953,0.52599888,I290 EB,,,3,50,,Millbury St/Exit 12
129P04601,11,4.676787953,4.939119149,0.262331196,I290 EB,,,3,50,,Millbury St/Exit 12
129+04602,12,4.939119149,5.077984147,0.138864998,I290 EB,,,3,50,,RT-122A/Vernon St/Exit 13
129P04602,13,5.077984147,5.430412692,0.352428545,I290 EB,,,3,50,,RT-122A/Vernon St/Exit 13
129+04603,14,5.430412692,5.495805646,0.065392954,I290 EB,,,3,50,,RT-122/Exit 14
129P04603,15,5.495805646,5.695505861,0.199700215,I290 EB,,,3,50,,RT-122/Exit 14
129+04604,16,5.695505861,5.831053639,0.135547778,I290 EB,,,3,50,,Shrewsbury St/Exit 15
129P04604,17,5.831053639,5.897162507,0.066108868,I290 EB,,,3,50,,Shrewsbury St/Exit 15
129+04605,18,5.897162507,5.976550392,0.079387884,I290 EB,,,3,50,,Central St/Exit 16
129P04605,19,5.976550392,6.282123671,0.305573279,I290 EB,,,3,50,,Central St/Exit 16
129+04606,20,6.282123671,6.401860543,0.119736872,I290 EB,,,3,50,,RT-9/Exit 17
129P04606,21,6.401860543,6.567333532,0.165472989,I290 EB,,,3,50,,RT-9/Exit 17
129+04607,22,6.567333532,6.795115209,0.227781677,I290 EB,,,3,50,,RT-70/Lincoln St/Exit 18
129P04607,23,6.795115209,6.834017214,0.038902005,I290 EB,,,3,50,,RT-70/Lincoln St/Exit 18
129+04608,24,6.834017214,7.431212875,0.597195661,I290 EB,,,3,50,,I-190/Exit 19
129P04608,25,7.431212875,8.081244242,0.650031367,I290 EB,,,3,50,,I-190/Exit 19
129+04609,26,8.081244242,8.096744039,0.015499797,I290 EB,,,3,50,,RT-70/Lincoln St/Exit 20
129P04609,27,8.096744039,8.59047575,0.493731711,I290 EB,,,3,50,,RT-70/Lincoln St/Exit 20
129+04610,28,8.59047575,9.208213967,0.617738217,I290 EB,,,4,65,,Plantation St/Exit 21
129P04610,29,9.208213967,9.63450689,0.426292923,I290 EB,,,3,65,,Plantation St/Exit 21
129+04611,30,9.63450689,10.02430634,0.38979945,I290 EB,,,3,65,,Main St/Exit 22
129P04611,31,10.02430634,10.4934974,0.469191065,I290 EB,,,3,65,,Main St/Exit 22
129+04612,32,10.4934974,12.43733363,1.943836225,I290 EB,,,3,65,,RT-140/Exit 23
129P04612,33,12.43733363,12.90973104,0.472397411,I290 EB,,,3,65,,RT-140/Exit 23
129+04613,34,12.90973104,14.70267286,1.792941817,I290 EB,West of Exit 24,Exit 24,3,65,,Church St/Exit 24
129P04613,35,14.70267286,15.06016251,0.357489651,I290 EB,Church St/Exit 24,Church St/Exit 24,3,65,,Church St/Exit 24
129+04614,36,15.06016251,17.67009963,2.609937118,I290 EB,Church St/Exit 24,Solomon Pond Rd/Exit 25,3,65,,Solomon Pond Rd/Exit 25
129P04614,37,17.67009963,18.17035686,0.500257237,I290 EB,Solomon Pond Rd/Exit 25,Solomon Pond Rd/Exit 25,3,65,,Solomon Pond Rd/Exit 25
129+04615,38,18.17035686,19.69287969,1.522522824,I290 EB,Solomon Pond Rd/Exit 25,I-495/Exit 26,3,65,,I-495/Exit 26
129P04615,39,19.69287969,20.02000002,0.327120336,I290 EB,I-495/Exit 26,I-495/Exit 26,2,45,,I-495/Exit 26
