tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,lanes,spd_limit,shape_Length,firstnm
129N14230,0,0,0.397361216,0.395602504,I95 SB,New Hampshire State Line,South of New Hampshire State Line,4,65,637.1182663,NH/MA State Line
129-04661,1,0.397361216,0.479685403,0.08063796,I95 SB,South of New Hampshire State Line,South of New Hampshire State Line,4,65,130.2782884,RT-286/Exit 60
129N04661,2,0.479685403,0.837470723,0.352603713,I95 SB,South of New Hampshire State Line,MA-286/Exit 60,4,65,566.4180673,RT-286/Exit 60
129-04399,3,0.837470723,1.550630401,0.702049696,I95 SB,MA-286/Exit 60,Exit 59/I-495 (Salisbury),4,65,1128.74155,I-495
129N04399,4,1.550630401,1.896796694,0.341015198,I95 SB,Exit 59/I-495 (Salisbury) ,Exit 59/I-495 (Salisbury) ,3,65,547.8273683,I-495
129-04398,5,1.896796694,2.732343518,0.822282526,I95 SB,Exit 59/I-495 (Salisbury),MA-110/Macy St/Elm St/Exit 58,3,65,1322.642657,RT-110/Elm St/Macy St/Exit 58
129N04398,6,2.732343518,3.052235403,0.315762105,I95 SB,MA-110/Macy St/Elm St/Exit 58,MA-110/Macy St/Elm St/Exit 58,3,65,506.8330971,RT-110/Elm St/Macy St/Exit 58
129-04397,7,3.052235403,4.674176102,1.596876032,I95 SB,MA-110/Macy St/Elm St/Exit 58,MA-113/Storey Ave/Exit 57,4,65,2566.848026,RT-113/Storey Ave/Exit 57
129N04397,8,4.674176102,5.146226764,0.464036154,I95 SB,MA-113/Storey Ave/Exit 57,MA-113/Storey Ave/Exit 57,4,65,747.1464707,RT-113/Storey Ave/Exit 57
129-04396,9,5.146226764,7.360627079,2.178619398,I95 SB,MA-113/Storey Ave/Exit 57,Scotland Rd/Exit 56,4,65,3504.630068,Scotland Rd/Exit 56
129N04396,10,7.360627079,7.867474397,0.498306675,I95 SB,Scotland Rd/Exit 56,Scotland Rd/Exit 56,4,65,802.1172441,Scotland Rd/Exit 56
129-04395,11,7.867474397,9.257508679,1.367416322,I95 SB,Scotland Rd/Exit 56,Central St/Exit 55,4,65,2200.010488,Central St/Exit 55
129N04395,12,9.257508679,9.669756948,0.403700514,I95 SB,Central St/Exit 55,Central St/Exit 55,4,65,652.4406336,Central St/Exit 55
129-04394,13,9.669756948,12.70600271,2.987963131,I95 SB,Central St/Exit 55,MA-133/Exit 54,4,65,4805.583622,RT-133/Haverhill St/Exit 54
129N04394,14,12.70600271,13.39647789,0.678532017,I95 SB,MA-133/Exit 54,MA-133/Exit 54,4,65,1092.803796,RT-133/Haverhill St/Exit 54
129-04393,15,13.39647789,14.56932613,1.154709201,I95 SB,MA-133/Exit 54,MA-97/Killam Hill Rd/Exit 53,4,65,1856.335819,RT-97/Killam Hill Rd/Exit 53
129N04393,16,14.56932613,15.20174721,0.622500464,I95 SB,MA-97/Killam Hill Rd/Exit 53,MA-97/Killam Hill Rd/Exit 53,4,65,1000.79375,RT-97/Killam Hill Rd/Exit 53
129-04392,17,15.20174721,16.82535541,1.597633931,I95 SB,MA-97/Killam Hill Rd/Exit 53,Topsfield Rd/Exit 52,4,65,2569.589633,Topsfield Rd/Exit 52
129N04392,18,16.82535541,17.34282079,0.509221459,I95 SB,Topsfield Rd/Exit 52,Topsfield Rd/Exit 52,4,65,818.9325801,Topsfield Rd/Exit 52
129-04391,19,17.34282079,18.68739406,1.323116643,I95 SB,Topsfield Rd/Exit 52,Endicott Rd/Exit 51,4,65,2128.191343,Endicott Rd/Exit 51
129N04391,20,18.68739406,19.1310176,0.436321549,I95 SB,Endicott Rd/Exit 51,Endicott Rd/Exit 51,4,65,702.1196703,Endicott Rd/Exit 51
129-04390,21,19.1310176,20.93053871,1.773249042,I95 SB,Endicott Rd/Exit 51,US-1/Newbury St/Exit 50,4,65,2849.143143,US-1/Newbury St/Exit 50
129N04390,22,20.93053871,21.51099834,0.570944604,I95 SB,US-1/Newbury St/Exit 50,US-1/Newbury St/Exit 50,5,65,917.4745239,US-1/Newbury St/Exit 50
129-04389,23,21.51099834,22.0877142,0.568022371,I95 SB,US-1/Newbury St/Exit 50,MA-62/Exit 49,4,65,912.8901492,RT-62/Exit 49
129N04389,24,22.0877142,22.22362375,0.133996643,I95 SB,MA-62/Exit 49,MA-62/Exit 49,4,65,215.4393562,RT-62/Exit 49
129-04388,25,22.22362375,22.97885027,0.744838342,I95 SB,MA-62/Exit 49,Centre St/Exit 48,4,65,1194.883294,Centre St/Exit 48
129N04388,26,22.97885027,23.4933004,0.506788609,I95 SB,Centre St/Exit 48,Centre St/Exit 48,4,65,814.2862155,Centre St/Exit 48
129-04387,27,23.4933004,23.71383446,0.216734725,I95 SB,Centre St/Exit 48,MA-114/Andover St/Exit 47,4,65,349.1156377,RT-114/Andover St/Exit 47
129N04387,28,23.71383446,24.22903933,0.506644475,I95 SB,MA-114/Andover St/Exit 47,MA-114/Andover St/Exit 47,4,65,815.4822539,RT-114/Andover St/Exit 47
129-04386,29,24.22903933,24.9460609,0.70366334,I95 SB,MA-114/Andover St/Exit 47,US-1/Exit 46,4,65,1134.833282,US-1/Exit 46
129N04386,30,24.9460609,25.22748252,0.276831896,I95 SB,US-1/Exit 46,US-1/Exit 46,3,65,445.3411171,US-1/Exit 46
129-04385,31,25.22748252,25.92542423,0.685032285,I95 SB,US-1/Exit 46,MA-128/Exit 45,3,65,1103.03815,RT-128 Split/Exit 45
129N04385,32,25.92542423,26.70622334,0.768010072,I95 SB,MA-128/Exit 45,MA-128/Exit 45,2,50,1235.933554,RT-128 Split/Exit 45
129-04384,33,26.70622334,27.076117,0.364450631,I95 SB,MA-128/Exit 45,Exit44/US-1/MA-129/Broadway,3,55,585.4779978,US-1/RT-129/Exit 44
129N04384,34,27.076117,27.62927226,0.543194573,I95 SB,Exit44/US-1/MA-129/Broadway,Exit44/US-1/MA-129/Broadway,3,55,875.0277494,US-1/RT-129/Exit 44
129-04383,35,27.62927226,27.85006987,0.217078619,I95 SB,Exit44/US-1/MA-129/Broadway,Exit44/US-1/MA-129/Broadway,3,55,349.2739896,Broadway
129N04383,36,27.85006987,28.02877867,0.175424648,I95 SB,Exit44/US-1/MA-129/Broadway,Exit44/US-1/MA-129/Broadway,3,55,282.875941,Broadway
129-04382,37,28.02877867,29.04277145,0.994978653,I95 SB,Exit44/US-1/MA-129/Broadway,Walnut St/Exit 43,3,55,1605.879023,Walnut St/Exit 43
129N04382,38,29.04277145,29.29163869,0.242972024,I95 SB,Walnut St/Exit 43,Walnut St/Exit 43,3,55,392.7650725,Walnut St/Exit 43
129-04381,39,29.29163869,29.75424713,0.453827878,I95 SB,Walnut St/Exit 43,Audubon Rd/Salem St/Exit 42,3,55,732.1267189,Audubon Rd/Salem St/Exit 42
129N04381,40,29.75424713,30.17080654,0.409701721,I95 SB,Audubon Rd/Salem St/Exit 42,Audubon Rd/Salem St/Exit 42,3,55,659.1549031,Audubon Rd/Salem St/Exit 42
129-04380,41,30.17080654,31.35022768,1.158002995,I95 SB,Audubon Rd/Salem St/Exit 42,Main St/Exit 41,3,55,1866.58897,Main St (Lynnfield)/Exit 41
129N04380,42,31.35022768,31.61137727,0.256344371,I95 SB,Main St/Exit 41,Main St/Exit 41,3,55,413.3521436,Main St (Lynnfield)/Exit 41
129-04379,43,31.61137727,32.07317584,0.453137898,I95 SB,Main St/Exit 41,MA-129/Exit 40,3,55,730.6447682,RT-129/Exit 40
129N04379,44,32.07317584,32.6608239,0.577642726,I95 SB,MA-129/Exit 40,MA-129/Exit 40,3,55,930.122185,RT-129/Exit 40
129-04378,45,32.6608239,32.91283012,0.248224576,I95 SB,MA-129/Exit 40,North Ave/Exit 39,3,55,399.0070019,North Ave/Exit 39
129N04378,46,32.91283012,33.24747671,0.328246498,I95 SB,North Ave/Exit 39,North Ave/Exit 39,3,55,529.6441782,North Ave/Exit 39
129-04377,47,33.24747671,34.08984422,0.828006647,I95 SB,North Ave/Exit 39,MA-28/Main St/Exit 38,3,55,1333.25188,RT-28/Main St (Reading)/Exit 38
129N04377,48,34.08984422,34.53986291,0.44083096,I95 SB,MA-28/Main St/Exit 38,MA-28/Main St/Exit 38,3,55,712.3107329,RT-28/Main St (Reading)/Exit 38
129-04376,49,34.53986291,34.91868526,0.371732864,I95 SB,MA-28/Main St/Exit 38,I-93/Exit 37,3,55,599.5378092,I-93 (Reading)/Exit 37
129N04376,50,34.91868526,35.46179882,0.532472825,I95 SB,I-93/Exit 37,I-93/Exit 37,3,55,860.2529506,I-93 (Reading)/Exit 37
129-04375,51,35.46179882,35.68959011,0.222499887,I95 SB,I-93/Exit 37,Washington St/Exit 36,4,55,360.2874999,Washington St/Exit 36
129N04375,52,35.68959011,35.88145659,0.188159242,I95 SB,Washington St/Exit 36,Washington St/Exit 36,4,55,303.6475856,Washington St/Exit 36
129-04374,53,35.88145659,36.93914758,1.036825805,I95 SB,Washington St/Exit 36,MA-38/Exit 35,4,55,1673.857792,RT-38/Exit 35
129N04374,54,36.93914758,37.4106103,0.462239196,I95 SB,MA-38/Exit 35,MA-38/Exit 35,4,55,746.0974505,RT-38/Exit 35
129-04373,55,37.4106103,38.12944418,0.704029552,I95 SB,MA-38/Exit 35,Winn St/Exit 34,4,55,1137.594118,Winn St/Exit 34
129N04373,56,38.12944418,38.58036379,0.441638674,I95 SB,Winn St/Exit 34,Winn St/Exit 34,4,55,713.3873238,Winn St/Exit 34
129-04372,57,38.58036379,38.90362205,0.316925084,I95 SB,Winn St/Exit 34,US-3/Cambridge St/Exit 33,4,55,511.5365031,US-3/RT-3A/Cambridge St/Exit 33
129N04372,58,38.90362205,39.42798564,0.515543173,I95 SB,US-3/Cambridge St/Exit 33,US-3/Cambridge St/Exit 33,4,55,830.1741536,US-3/RT-3A/Cambridge St/Exit 33
129-04371,59,39.42798564,40.35459295,0.909735174,I95 SB,US-3/Cambridge St/Exit 33,US-3/Middlesex Tpke/Exit 32,4,55,1466.501095,US-3/Middlesex Tpke/Exit 32
129N04371,60,40.35459295,41.35452168,0.981672869,I95 SB,US-3/Middlesex Tpke/Exit 32,US-3/Middlesex Tpke/Exit 32,4,55,1582.811129,US-3/Middlesex Tpke/Exit 32
129-04370,61,41.35452168,42.13632609,0.767887029,I95 SB,US-3/Middlesex Tpke/Exit 32,MA-225/MA-4/Bedford St/Exit 31,4,55,1236.791507,RT-4/RT-225/Bedford St/Exit 31
129N04370,62,42.13632609,42.51584278,0.371648786,I95 SB,MA-225/MA-4/Bedford St/Exit 31,MA-225/MA-4/Bedford St/Exit 31,4,55,600.477146,RT-4/RT-225/Bedford St/Exit 31
129-04369,63,42.51584278,44.38471907,1.83834481,I95 SB,MA-225/MA-4/Bedford St/Exit 31,MA-2/Marrett Rd/Exit 30,4,55,2958.013314,RT-2A/Marrett Rd/Exit 30
129N04369,64,44.38471907,44.80967928,0.417888314,I95 SB,MA-2/Marrett Rd/Exit 30,MA-2/Marrett Rd/Exit 30,4,55,672.5657106,RT-2A/Marrett Rd/Exit 30
129-04368,65,44.80967928,45.38573423,0.567581977,I95 SB,MA-2/Marrett Rd/Exit 30,MA-2/Exit 29,4,55,911.6218466,RT-2/Exit 29
129N04368,66,45.38573423,45.90958906,0.516350478,I95 SB,MA-2/Exit 29,MA-2/Exit 29,4,55,829.4470379,RT-2/Exit 29
129-04367,67,45.90958906,46.43365657,0.515619545,I95 SB,MA-2/Exit 29,Trapelo Rd/Exit 28,4,55,828.8904773,Trapelo Rd/Exit 28
129N04367,68,46.43365657,46.7592557,0.321247169,I95 SB,Trapelo Rd/Exit 28,Trapelo Rd/Exit 28,4,55,515.6997308,Trapelo Rd/Exit 28
129-04366,69,46.7592557,47.66514663,0.891556771,I95 SB,Trapelo Rd/Exit 28,Totten Pond Rd/Winter St/Exit 27,4,55,1433.594713,Totten Pond/Winter St/Exit 27
129N04366,70,47.66514663,48.03083804,0.359390345,I95 SB,Totten Pond Rd/Winter St/Exit 27,Totten Pond Rd/Winter St/Exit 27,4,55,578.5414866,Totten Pond/Winter St/Exit 27
